江苏频道,#genre#
江苏卫视,http://192.168.5.1:4000/udp/239.49.8.16:9602?fcc=180.100.72.185:15970
江苏新闻,http://192.168.5.1:4000/udp/239.49.8.120:8000?fcc=180.100.72.185:15970
江苏城市,http://192.168.5.1:4000/udp/239.49.8.107:8000?fcc=180.100.72.185:15970
江苏教育,http://192.168.5.1:4000/udp/239.49.8.122:8000?fcc=180.100.72.185:15970
江苏影视,http://192.168.5.1:4000/udp/239.49.8.118:8000?fcc=180.100.72.185:15970
江苏综艺,http://192.168.5.1:4000/udp/239.49.8.108:8000?fcc=180.100.72.185:15970
江苏体育·休闲,http://192.168.5.1:4000/udp/239.49.8.117:8000?fcc=180.100.72.185:15970
优漫卡通,http://192.168.5.1:4000/udp/239.49.8.119:8000?fcc=180.100.72.185:15970
江苏国际,http://192.168.5.1:4000/udp/239.49.0.22:8168?fcc=180.100.72.185:15970
央视频道,#genre#
CCTV-1 综合,http://192.168.5.1:4000/udp/239.49.8.19:9614?fcc=180.100.72.185:15970
CCTV-2 财经,http://192.168.5.1:4000/udp/239.49.8.50:9802?fcc=180.100.72.185:15970
CCTV-3 综艺,http://192.168.5.1:4000/udp/239.49.8.74:8000?fcc=180.100.72.185:15970
CCTV-4 中文国际,http://192.168.5.1:4000/udp/239.49.8.51:9806?fcc=180.100.72.185:15970
CCTV-5 体育,http://192.168.5.1:4000/udp/239.49.8.75:8000?fcc=180.100.72.185:15970
CCTV-5+ 体育赛事,http://192.168.5.1:4000/udp/239.49.8.18:9610?fcc=180.100.72.185:15970
CCTV-6 电影,http://192.168.5.1:4000/udp/239.49.8.76:8000?fcc=180.100.72.185:15970
CCTV-7 国防军事,http://192.168.5.1:4000/udp/239.49.0.126:8000?fcc=180.100.72.185:15970
CCTV-8 电视剧,http://192.168.5.1:4000/udp/239.49.8.77:8000?fcc=180.100.72.185:15970
CCTV-9 纪录,http://192.168.5.1:4000/udp/239.49.8.53:9814?fcc=180.100.72.185:15970
CCTV-10 科教,http://192.168.5.1:4000/udp/239.49.8.54:9818?fcc=180.100.72.185:15970
CCTV-11 戏曲,http://192.168.5.1:4000/udp/239.49.0.127:8000?fcc=180.100.72.185:15970
CCTV-12 社会与法,http://192.168.5.1:4000/udp/239.49.8.55:9822?fcc=180.100.72.185:15970
CCTV-13 新闻,http://192.168.5.1:4000/udp/239.49.8.109:8000?fcc=180.100.72.185:15970
CCTV-14 少儿,http://192.168.5.1:4000/udp/239.49.8.56:9826?fcc=180.100.72.185:15970
CCTV-15 音乐,http://192.168.5.1:4000/udp/239.49.0.128:8000?fcc=180.100.72.185:15970
CCTV-16 奥林匹克,http://192.168.5.1:4000/udp/239.49.8.31:8000?fcc=180.100.72.185:15970
CCTV-16 奥林匹克4K,http://192.168.5.1:4000/udp/239.49.0.109:8000?fcc=180.100.72.185:15970
CCTV-17 农业农村,http://192.168.5.1:4000/udp/239.49.8.52:9810?fcc=180.100.72.185:15970
CCTV-4K 超高清,http://192.168.5.1:4000/udp/239.49.0.82:8000?fcc=180.100.72.185:15970
CGTN 英语,http://192.168.5.1:4000/udp/239.49.0.9:8064?fcc=180.100.72.185:15970
CGTN 俄语,http://192.168.5.1:4000/udp/239.49.0.111:8000?fcc=180.100.72.185:15970
卫视频道,#genre#
湖南卫视,http://192.168.5.1:4000/udp/239.49.8.12:9418?fcc=180.100.72.185:15970
浙江卫视,http://192.168.5.1:4000/udp/239.49.8.20:9618?fcc=180.100.72.185:15970
东方卫视,http://192.168.5.1:4000/udp/239.49.8.17:9606?fcc=180.100.72.185:15970
北京卫视,http://192.168.5.1:4000/udp/239.49.8.11:9414?fcc=180.100.72.185:15970
北京卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.0.42:8000?fcc=180.100.72.185:15970
深圳卫视,http://192.168.5.1:4000/udp/239.49.8.15:9430?fcc=180.100.72.185:15970
深圳卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.28:8000?fcc=180.100.72.185:15970
深圳卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.27:8000?fcc=180.100.72.185:15970
广东卫视,http://192.168.5.1:4000/udp/239.49.8.13:9422?fcc=180.100.72.185:15970
广东卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.26:8000?fcc=180.100.72.185:15970
广东卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.24:8000?fcc=180.100.72.185:15970
广西卫视,http://192.168.5.1:4000/udp/239.49.8.10:8000?fcc=180.100.72.185:15970
四川卫视,http://192.168.5.1:4000/udp/239.49.8.110:8000?fcc=180.100.72.185:15970
重庆卫视,http://192.168.5.1:4000/udp/239.49.8.57:9830?fcc=180.100.72.185:15970
安徽卫视,http://192.168.5.1:4000/udp/239.49.8.80:8000?fcc=180.100.72.185:15970
山东卫视,http://192.168.5.1:4000/udp/239.49.8.7:9306?fcc=180.100.72.185:15970
天津卫视,http://192.168.5.1:4000/udp/239.49.8.35:8620?fcc=180.100.72.185:15970
